District Name,County Name (District),District Type (District),All Charter Schools (Y/N) (District),Grade Span (District),Zip (District),City (District),Census Day Enrollment (District),English Learners % (District),American Indian or Alaska Native % (District),Asian % (District),Black or African American % (District),Filipino % (District),Hispanic or Latino % (District),Native Hawaiian or Pac Islander % (District),Two or More Races % (District),None Reported % (District),White % (District),Free/Reduced Meals % (District),Fluent English Proficient (FEP) % (District),Ethnic Diversity Index (District),Cohort Graduates % (District),Cohort Grads by Socio. Econ. DisAdvtg % (District),Student/Teacher Ratio (District),1st Year Teachers (District),Experienced Teachers (District),Teacher Service Days (District),Teaching Days (District),Inexperienced Teachers (District),Avg Years Teaching (District),Suspension Rate (District),Chronic Absenteeism % (District),CAASPP-Math Standard Exceeded or Met (Levels 3 and 4) (District),CAASPP-ELA Standard Exceeded or Met (Levels 3 and 4) (District),Current Exp of Educ per ADA (Ed Code 41372) (District),Gen Fund Exp by Activity - 6000-6999 Enterprise Exp % (District),Gen Fund Exp by Activity - 4000-4999 Ancillary Services Exp % (District),Gen Fund Exp by Activity - 1000-1999 Instruction Exp % (District),Gen Fund Exp by Activity - 3000-3999 Pupil Services Exp % (District),Gen Fund Exp by Activity - 7000-7999 General Administration Exp % (District),Gen Fund Exp by Activity - 2000-2999 Instruc-related Svcs Exp % (District),Gen Fund Exp by Activity - 8000-8999 Plant Services Exp % (District)
South Fork Union (Kern),Kern,Elementary School District,No,K-08,93283,"""Weldon                        """,348,2.6,1.7,0.3,0,0,24.7,0,6.6,3.7,62.9,79,2.01,35,N/A,N/A,19.5,4,9,184,180,9,6,2.6,18.2,30.34,38.89,18400,0,0,54,13,13,5,13
South Monterey County Joint Union High (Monterey),Monterey,High School District,No,09-12,93930,"""King City                     """,2666,17.1,0.3,0.2,0,0.5,94.9,0,0.2,0,3.9,80.5,66.65,6,88.9,88.7,23.2,5,105,185,181,15,11,7.9,18,13.11,54.23,18539,0,2,47,13,9,12,12
South Pasadena Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91030,"""South Pasadena                """,4678,5.3,0.1,33.7,1,2.3,22.8,0.1,14.1,3.2,22.6,14.7,16.59,62,96.1,93.7,24,2,191,N/A,N/A,10,12,1.3,6.6,78.84,84.05,15959,0,1,67,7,6,10,8
South San Francisco Unified (San Mateo),San Mateo,Unified School District,No,K-12,94080,"""South San Francisco           """,7664,23.4,0.7,15.2,1,19.8,48.6,1.4,7,0.1,6.3,40,24.32,54,90.9,89,17.3,19,376,186,180,71,13,2.6,14.7,39.85,49.56,23037,0,0,57,13,6,11,12
South Whittier Elementary (Los Angeles),Los Angeles,Elementary School District,No,K-08,90605,"""Whittier                      """,2258,26.9,0.1,0.5,0.7,0.8,94.3,0,0.7,0,2.8,90.6,15.46,6,N/A,N/A,18.9,6,113,186,180,11,15,2,17.8,25.61,34.52,23993,0,0,65,9,7,7,11
Southern Humboldt Joint Unified (Humboldt),Humboldt,Unified School District,No,K-12,95553,"""Miranda                       """,647,7,4,0.5,0.8,0,25.2,0.2,11.6,0.3,57.5,75.1,4.79,43,86.4,88.2,15.6,3,39,N/A,N/A,5,10,2.7,45.8,20.26,24.21,25534,0,1,51,14,8,11,13
Southern Kern Unified (Kern),Kern,Unified School District,No,K-12,93560,"""Rosamond                      """,3636,14.3,0.2,0.7,9,0.8,64.2,0,4.3,0.9,19.7,80,9.43,37,86.9,86.9,19.4,11,164,183,180,26,10,5.5,26.3,14.87,30.12,20336,0,1,51,10,5,9,24
Southern Trinity Joint Unified (Trinity),Trinity,Unified School District,No,K-12,95526,"""Mad River                     """,71,N/A,8.5,1.4,0,4.2,5.6,0,15.5,0,64.8,60.6,N/A,38,redacted,N/A,8.8,1,9,185,180,1,13,0,17.8,37.5,52.5,44439,0,4,47,14,9,10,14
Southside Elementary (San Benito),San Benito,Elementary School District,No,K-08,95023,"""Hollister                     """,268,19.8,0.4,0.7,1.1,1.1,66.5,0,1.1,0,29,45.1,6.34,32,N/A,N/A,24.4,0,10,184,180,1,19,3.5,13.2,40.83,49.7,11404,0,4,57,2,9,9,8
Spencer Valley Elementary (San Diego),San Diego,Elementary School District,No,K-12,92070,"""Santa Ysabel                  """,4196,9.5,0.8,3.1,10.7,1.9,57.8,1,4.6,0,20.1,68.6,10.41,45,73.6,73,23.7,15,541,N/A,N/A,40,10,0,10.9,44,52,37235,0,0,51,5,7,14,12
Spreckels Union Elementary (Monterey),Monterey,Elementary School District,No,K-08,93962,"""Spreckels                     """,850,6,0.1,2.5,0,1.5,46.5,0,7.8,1.4,40.2,18.6,10.71,44,N/A,N/A,21.3,5,30,185,180,11,10,0.6,8.8,43.94,55.71,12941,0,0,54,12,11,6,13
Springville Union Elementary (Tulare),Tulare,Elementary School District,No,K-08,93265,"""Springville                   """,335,1.8,2.1,0.3,0.6,0,29.3,0,6.9,1.5,59.4,52.5,1.19,38,N/A,N/A,18.6,1,17,182,180,1,13,1.1,23.2,30.22,40.71,17567,0,0,63,10,6,6,14
Standard Elementary (Kern),Kern,Elementary School District,No,K-08,93308,"""Bakersfield                   """,3193,8.9,0.7,0.4,4.6,0.2,50,0.3,2.7,0,41.2,90.1,4.01,42,N/A,N/A,20.5,16,131,183,180,25,11,5.2,32.4,14.79,24.67,19706,0,0,54,14,7,9,12
Stanislaus County Office of Education (Stanislaus),Stanislaus,County Office of Education (COE),No,K-12,95354,"""Modesto                       """,2404,12.3,0.7,2.5,4.6,0.4,61.4,0.5,4,1.3,24.5,57.8,7.32,39,32.2,32.5,15.4,31,110,184,180,47,11,2.1,43.2,5.46,6.18,N/A,0,0,32,15,10,29,8
Stanislaus Union Elementary (Stanislaus),Stanislaus,Elementary School District,No,K-08,95350,"""Modesto                       """,3329,22.5,0.4,10.7,2.9,1.1,56.2,1.4,4.9,8,14.5,76.2,12.26,42,N/A,N/A,20.2,29,120,185,180,53,11,3,15.2,30.31,38.24,21128,0,0,65,6,7,10,11
Stockton Unified (San Joaquin),San Joaquin,Unified School District,No,K-12,95203,"""Stockton                      """,38452,23.7,0.4,8.3,8.6,3.1,71.3,0.5,3.7,0.4,3.6,79.9,21.21,32,89.9,89.1,22.8,150,1582,187,180,270,12,4.2,31.7,18.5,29.77,27318,0,0,54,14,5,12,14
Stone Corral Elementary (Tulare),Tulare,Elementary School District,No,K-12,93292,"""Visalia                       """,961,18.9,1,4.8,1.8,0,34.8,0.2,4.5,0.9,52,88.7,14.67,44,27,25.2,22.9,3,39,183,180,5,13,0,46.7,8.33,26.39,28351,0,0,57,13,8,11,11
Stony Creek Joint Unified (Glenn),Glenn,Unified School District,No,K-12,95939,"""Elk Creek                     """,55,N/A,50.9,0,0,0,20,0,3.6,0,25.5,74.5,N/A,48,redacted,redacted,5.6,2,7,N/A,N/A,3,9,11,48.4,28.57,32.14,49755,0,1,46,3,15,6,22
Strathmore Union Elementary (Tulare),Tulare,Elementary School District,No,K-08,93267,"""Strathmore                    """,702,38.6,0.1,0.6,0,0.1,91.2,0,0,0,8,87.6,16.38,10,N/A,N/A,21,7,27,186,180,7,12,4.5,13.7,19.78,35.11,24099,0,0,63,8,7,10,11
Sulphur Springs Union (Los Angeles),Los Angeles,Elementary School District,No,K-06,91351,"""Canyon Country                """,5157,16.1,0.3,4,5.3,5.8,59.3,0.1,5.3,1.5,18.3,60.7,6.13,43,N/A,N/A,23.2,2,209,186,180,17,13,1.9,12.8,42.76,52.82,17826,0,4,60,9,7,7,12
Summerville Elementary (Tuolumne),Tuolumne,Elementary School District,No,K-08,95379,"""Tuolumne                      """,457,0.4,10.3,0,0.2,0,16.4,0,6.8,2.4,63.9,45.1,0.22,37,N/A,N/A,19.9,1,23,182,180,1,12,2.6,21.7,22.22,40.94,15099,0,0,59,5,12,3,18
Summerville Union High (Tuolumne),Tuolumne,High School District,No,K-12,95379,"""Tuolumne                      """,1074,0.7,1.8,0.4,0.6,0.1,19.8,0.1,8.3,0.4,68.6,43.6,1.77,33,93,91.2,18.6,0,60,183,180,4,16,5.2,14.9,33.15,72.93,20821,0,2,55,14,8,8,12
Sundale Union Elementary (Tulare),Tulare,Elementary School District,No,K-08,93274,"""Tulare                        """,840,9.5,0.1,0.8,0.1,0,47.5,0.1,3.9,0,47.4,39.2,2.26,39,N/A,N/A,25.5,0,30,185,180,3,15,0.6,4.6,47.36,55.87,13663,0,0,65,8,6,2,17
Sunnyside Union Elementary (Tulare),Tulare,Elementary School District,No,K-08,93267,"""Strathmore                    """,311,39.2,0.3,0,0.3,0,95.2,0,0.3,0,3.9,85.9,12.54,5,N/A,N/A,18.2,0,16,188,180,2,12,5.1,14.5,11.11,22.56,23288,0,0,52,12,10,7,11
Sunnyvale (Santa Clara),Santa Clara,Elementary School District,No,K-08,94088,"""Sunnyvale                     """,5764,27.9,0.8,26.1,1.3,4.4,40.8,0.7,7.9,0,18,23.3,23.77,59,N/A,N/A,18.7,17,276,187,187,35,14,2.1,9.5,52.1,55.97,27179,0,0,61,7,7,14,10
Sunol Glen Unified (Alameda),Alameda,Unified School District,No,K-08,94586,"""Sunol                         """,240,5,0,37.5,0.4,0.8,15.8,0.4,12.1,0.4,32.5,9.6,21.25,57,N/A,N/A,17.6,1,15,185,180,2,11,0,8.7,79.27,80.37,20698,0,0,58,2,10,18,12
Surprise Valley Joint Unified (Modoc),Modoc,Unified School District,No,K-12,96104,"""Cedarville                    """,89,1.1,12.4,0,0,0,23.6,0,10.1,0,53.9,66.3,3.37,47,redacted,redacted,10.8,2,6,184,180,3,10,13,10.9,32.61,41.3,30183,0,5,57,5,12,9,12
Susanville Elementary (Lassen),Lassen,Elementary School District,No,K-12,96130,"""Susanville                    """,1135,4.1,5.4,1.2,0.5,0.8,24.8,3,10.2,0.2,53.9,72.2,3.44,47,81.3,75,19.7,2,52,185,180,8,10,3.8,21.3,28.89,39.29,15218,0,2,60,5,10,12,11
Sutter County Office of Education (Sutter),Sutter,County Office of Education (COE),No,K-12,95993,"""Yuba City                     """,498,20.9,2.2,12.2,3,0.4,43.6,0,4.2,0,34.3,73.7,10.64,52,50,47.7,9.6,10,42,185,180,13,12,9.4,47.4,3.13,1.69,N/A,2,0,42,12,11,18,4
Sutter Union High (Sutter),Sutter,High School District,No,09-12,95982,"""Sutter                        """,760,2.4,0.8,3.8,0.3,0,27,0,6.8,0.1,61.2,26.3,10.39,39,99.5,98.9,21,8,30,185,180,9,12,1.6,19.5,25.3,49.1,15331,0,0,45,17,9,11,16
Sweetwater Union High (San Diego),San Diego,High School District,No,K-12,91911,"""Chula Vista                   """,35774,22,0.3,2,3.4,8.5,72.2,0.3,3.5,0.1,9.6,56.9,36.78,31,90.9,89.7,22.1,65,1506,184,180,134,17,4.3,21.4,30.44,51.79,18370,0,2,56,8,8,16,9
Sylvan Union Elementary (Stanislaus),Stanislaus,Elementary School District,No,K-08,95350,"""Modesto                       """,7977,15.1,0.4,8.6,2.9,2.5,51.4,1.2,6,2.6,24.4,64.5,10.47,49,N/A,N/A,20.3,19,377,183,180,36,15,4.5,15,36.22,42.67,17849,0,0,67,8,5,11,7
Taft City (Kern),Kern,Elementary School District,No,K-08,93268,"""Taft                          """,2404,43.1,0.3,0.5,0.8,0.1,74.3,0.3,0.4,0.3,23,90.5,11.36,26,N/A,N/A,20.3,13,91,185,180,28,10,3.4,13.3,21.08,33.04,16490,0,0,55,12,8,7,14
Taft Union High (Kern),Kern,High School District,No,09-12,93268,"""Taft                          """,1149,19.6,0.2,0.5,0.3,0.4,61.7,0.3,0.4,1,35.1,82.8,33.77,33,88.3,88.8,18.2,2,62,185,180,5,14,3.7,24.4,10.26,48.54,26491,0,6,44,13,10,8,19
Tahoe-Truckee Unified (Placer),Placer,Unified School District,No,K-12,96161,"""Truckee                       """,4175,12.4,0.3,0.6,0.2,0.1,35.4,0,4.6,1.3,57.6,32.1,16.5,37,95.4,91.1,18.8,11,209,185,180,28,13,2.1,13.7,51.72,61.57,27067,0,2,56,14,6,11,11
Tamalpais Union High (Marin),Marin,High School District,No,09-12,94939,"""Larkspur                      """,4542,1.9,0.1,4,2,0.4,14.2,0.2,9.8,0,69.2,10.3,11.18,34,97.1,93.2,18.4,6,251,185,180,8,17,2.4,14.8,54.19,68.72,27690,0,4,54,13,9,9,10
Tehachapi Unified (Kern),Kern,Unified School District,No,K-12,93561,"""Tehachapi                     """,4156,5.2,0.3,1,1.3,0.3,40.1,0.2,3.7,1,52.1,44.8,5.03,40,94.5,94.4,23,5,163,184,180,25,10,2.8,28.2,24.13,35.68,17433,0,1,54,13,9,10,12
Tehama County Department of Education (Tehama),Tehama,County Office of Education (COE),No,K-12,96080,"""Red Bluff                     """,284,6,2.5,0,0.4,0,29.2,0.4,6.7,4.6,56.3,80.6,8.1,39,72.7,71.9,9.5,1,30,183,180,3,13,0,20.8,7.94,15.87,N/A,0,16,23,22,12,18,8
Temecula Valley Unified (Riverside),Riverside,Unified School District,No,K-12,92592,"""Temecula                      """,27980,4.9,0.6,6.6,3.6,4.6,38.4,0.3,9.9,0.1,36,35,9.98,56,95.8,92.8,21.5,60,1173,184,180,137,17,2.1,16.7,49.72,63.82,17149,1,0,66,10,5,9,8
Temple City Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,91780,"""Temple City                   """,5298,20.6,0,65.3,0.6,2,22.7,0.2,4.2,0.5,4.5,39.9,34.2,36,95.8,95,24.3,9,207,184,180,16,17,1.2,7.8,66.03,69.16,17293,0,1,61,7,8,9,11
Templeton Unified (San Luis Obispo),San Luis Obispo,Unified School District,No,K-12,93465,"""Templeton                     """,2215,2.2,0.5,1.1,0.2,0.2,23.9,0.2,6.3,8.4,59.2,23.2,8.08,35,98.4,98.8,18.9,4,113,184,180,11,16,1.2,12.6,38.5,56.8,15452,0,2,61,9,7,8,10
Terra Bella Union Elementary (Tulare),Tulare,Elementary School District,No,K-08,93270,"""Terra Bella                   """,717,64.6,0,0.6,0.1,0.1,97.4,0,0,0.1,1.7,93.3,10.18,3,N/A,N/A,19.9,1,34,184,180,2,15,3.2,18.4,26.24,39.74,21126,0,0,48,14,6,10,18
Thermalito Union Elementary (Butte),Butte,Elementary School District,No,K-08,95965,"""Oroville                      """,1515,11.8,1.8,33.2,1.8,0.8,17,0.6,8.8,0.8,35.2,87.1,5.28,58,N/A,N/A,17.7,4,76,184,180,13,15,3.7,15.8,24.53,34.79,21063,0,0,44,10,5,6,31
Three Rivers Union Elementary (Tulare),Tulare,Elementary School District,No,K-08,93271,"""Three Rivers                  """,93,4.3,0,1.1,0,1.1,19.4,0,12.9,2.2,63.4,36.6,0,37,N/A,N/A,15.5,0,6,184,180,0,13,3.1,3.1,29.09,60,22622,0,1,46,4,12,12,25
Tipton Elementary (Tulare),Tulare,Elementary School District,No,K-08,93272,"""Tipton                        """,485,58.1,0.2,0.2,0.4,0,96.1,0,0,0,3.1,94.6,17.73,4,N/A,N/A,18,2,23,185,180,4,15,1.4,15,28.57,38.13,21582,0,0,63,6,8,8,12
Torrance Unified (Los Angeles),Los Angeles,Unified School District,No,K-12,90501,"""Torrance                      """,22023,12,0.2,26.9,4.2,4.7,34.8,0.4,9.6,0.7,18.5,33.2,21.45,63,97,96,23.7,31,880,185,180,87,18,1.4,9.9,61.49,68.24,16002,0,1,61,9,6,10,11
Tracy Joint Unified (San Joaquin),San Joaquin,Unified School District,No,K-12,95376,"""Tracy                         """,15023,21.5,0.4,16,5.2,4.7,53.9,1.1,4.9,0,13.9,69.2,24.04,50,91.8,91.2,21.3,42,649,183,180,69,15,7.3,20.1,28.06,40.82,19013,0,1,57,11,5,14,10
Traver Joint Elementary (Tulare),Tulare,Elementary School District,No,K-08,93673,"""Traver                        """,235,45.5,0,2.6,0,0,97,0,0,0,0.4,71.5,16.17,3,N/A,N/A,21.4,1,10,N/A,N/A,1,13,1.2,20.2,23.45,37.24,20936,0,0,49,5,11,13,22
Travis Unified (Solano),Solano,Unified School District,No,K-12,94533,"""Fairfield                     """,5405,3.2,0.2,4.9,13.1,11.3,30.9,0.7,15.4,1.3,22.2,45.9,9.2,70,98.5,97.8,20.7,17,232,183,180,33,15,2.5,16,34.87,47.3,15962,0,1,58,13,6,10,10
Tres Pinos Union Elementary (San Benito),San Benito,Elementary School District,No,K-08,95075,"""Tres Pinos                    """,61,16.4,0,0,1.6,0,57.4,0,0,0,41,63.9,3.28,35,N/A,N/A,26.5,0,3,N/A,N/A,0,16,1.6,22.2,12.5,17.5,14229,0,5,57,1,10,8,10
Trinidad Union Elementary (Humboldt),Humboldt,Elementary School District,No,K-08,95570,"""Trinidad                      """,161,N/A,9.9,0,1.9,0,11.8,0.6,8.1,1.9,65.8,61.5,N/A,36,N/A,N/A,13.5,2,11,N/A,N/A,2,11,5.1,16.6,47.78,50.54,21797,0,0,63,9,6,11,10
Trinity Alps Unified (Trinity),Trinity,Unified School District,No,K-12,96093,"""Weaverville                   """,640,1.3,3.3,1.3,0.8,0,8.9,0.2,8,0.3,77.3,64.7,0.63,25,92.7,91.4,17,5,32,183,180,9,14,13.4,29.2,33.33,47.33,21247,0,2,60,7,6,7,14
Trinity Center Elementary (Trinity),Trinity,Elementary School District,No,01-08,96091,"""Trinity Center                """,13,N/A,0,0,0,0,0,0,7.7,0,92.3,84.6,N/A,8,N/A,N/A,6.5,1,1,N/A,N/A,1,19,7.7,30.8,redacted,redacted,40871,0,0,33,4,7,6,36
Trinity County Office of Education (Trinity),Trinity,County Office of Education (COE),No,07-12,96093,"""Weaverville                   """,144,N/A,6.9,0,2.1,0,17.4,0,9.7,0,63.9,82.6,N/A,39,38.1,37.7,13.6,2,6,184,180,6,5,1.7,88.7,redacted,redacted,N/A,0,2,5,28,25,22,4
Trona Joint Unified (San Bernardino),San Bernardino,Unified School District,No,K-12,93562,"""Trona                         """,258,2.3,0,0,7.4,0,31,0,3.1,0,58.5,77.1,1.55,40,85,82.4,15.7,5,12,183,180,6,5,6.4,40.6,18.7,19.67,34192,0,1,49,11,14,10,12
Tulare City (Tulare),Tulare,Elementary School District,No,K-08,93274,"""Tulare                        """,9294,25,0.2,1.6,2.8,0.3,81.2,0.1,1.8,0,11.9,80.3,8.91,21,N/A,N/A,22.6,17,381,185,180,34,14,2,12.2,21.1,33.85,19006,0,3,50,12,5,11,19
Tulare County Office of Education (Tulare),Tulare,County Office of Education (COE),No,K-12,93277,"""Visalia                       """,3660,8.2,0.4,1.5,1.1,0.5,62.5,0.2,3.3,0.7,29.8,55,9.43,36,54.2,44.1,12,22,274,185,180,40,11,1.7,19.6,30.72,42.48,N/A,0,8,31,22,6,23,8
Tulare Joint Union High (Tulare),Tulare,High School District,No,09-12,93274,"""Tulare                        """,5598,11.7,0.4,1.6,2.3,0.2,80.5,0,1.2,0.5,13.3,72.3,35.08,21,97.3,97,20.7,3,244,185,180,35,12,5.7,14.4,22.5,54.06,21166,0,3,49,14,7,9,16
Tulelake Basin Joint Unified (Modoc),Modoc,Unified School District,No,K-12,96134,"""Tulelake                      """,479,34,1.5,0.2,0,0,77.5,0,1.9,1,18,83.7,30.9,23,97.1,96.8,17.6,3,19,185,180,9,9,2.3,20,17.67,25.4,21348,0,6,61,4,9,7,12
Tuolumne County Superintendent of Schools (Tuolumne),Tuolumne,County Office of Education (COE),No,K-12,95370,"""Sonora                        """,77,1.3,6.5,0,2.6,0,20.8,0,7.8,0,62.3,64.9,2.6,40,redacted,redacted,6.7,0,11,183,180,1,16,5.4,54.5,3.85,12,N/A,0,0,32,23,19,21,5
Turlock Unified (Stanislaus),Stanislaus,Unified School District,No,K-12,95380,"""Turlock                       """,13744,25.9,0.5,6.6,1.7,0.2,61,0.4,1.8,1.7,25.9,64.6,14.03,38,93.4,92.7,22.2,29,578,183,180,52,15,2.2,21.4,27.59,41.03,18903,0,1,65,9,5,10,9
Tustin Unified (Orange),Orange,Unified School District,No,K-12,92780,"""Tustin                        """,21342,14.7,0.1,22.9,1.5,2.4,46.1,0.3,6.7,0.6,19.5,53,21.74,54,96,95.3,25.5,0,803,185,180,36,16,1.7,10.8,53.38,62.22,16539,0,1,59,11,7,10,10
Twain Harte (Tuolumne),Tuolumne,Elementary School District,No,K-08,95383,"""Twain Harte                   """,258,N/A,2.3,0.4,0.8,0,24,0.8,6.2,0,65.5,65.1,1.16,35,N/A,N/A,16.1,2,13,182,180,4,12,4.6,24.2,34.88,45.66,20547,0,1,57,11,8,11,10
Twin Hills Union Elementary (Sonoma),Sonoma,Elementary School District,No,K-12,95472,"""Sebastopol                    """,994,2.2,0.2,0.7,0.5,0.3,20,0,8.2,0.1,69.9,26,3.52,31,90.6,91.7,18.4,3,54,186,180,6,16,1.5,17.7,48.71,60.74,21292,0,0,58,9,13,9,9
Twin Ridges Elementary (Nevada),Nevada,Elementary School District,No,K-08,95959,"""Nevada City                   """,105,1,1.9,0,0,0,8.6,1,8.6,0,80,84.8,1.9,22,N/A,N/A,18.3,2,3,N/A,N/A,3,7,5.2,44.9,5.26,21.05,28382,0,0,36,9,15,18,11
Twin Rivers Unified (Sacramento),Sacramento,Unified School District,No,K-12,95652,"""McClellan                     """,43274,22,0.3,16,8,0.7,33.3,1.1,7.8,1.7,31.1,88.9,10.29,62,26,31.1,24.8,143,1577,186,180,197,14,4.1,49.7,26.1,36.86,22643,0,8,52,11,6,11,11
Two Rock Union (Sonoma),Sonoma,Elementary School District,No,K-06,94952,"""Petaluma                      """,135,21.5,0,0,1.5,0,52.6,0.7,9.6,0.7,34.8,50.4,5.93,43,N/A,N/A,19.3,1,6,N/A,N/A,1,7,0,5.9,43.84,43.06,20670,0,0,53,9,13,9,10
Ukiah Unified (Mendocino),Mendocino,Unified School District,No,K-12,95482,"""Ukiah                         """,6623,21,4.5,0.9,0.5,0.4,56.3,0.1,4.8,0.8,31.8,78.5,17.56,41,90.2,88.8,18.4,15,334,188,180,38,14,5.9,23.9,20.98,33.89,20300,0,2,59,10,6,11,11
